Names,Location,Date,Alleged Crime,Latitude,Longitude
"Paul Hill, Paul Archer, William Archer, Emma Fair","Carrollton, Ala.","Sept. 15, 1893",Arson,41.046,-96.196
unknown negro,"Fannin, Miss.","Dec. 23, 1893",Suspected Robbery,41.046,-96.196
Calvin Thomas,"Brainbridge, Ga.","Dec. 25, 1893",Assault,41.046,-96.196
Tillman Green,"Columbia, La.","Dec. 28, 1893",Attempted Assault,41.046,-96.196
Patrick Wells,"Quincy, Fla.","Jan. 26, 1893",Incendiarism,41.046,-96.196
"Frank Harrell, William Filder","Dickery, Miss.","Feb. 9, 1893",Incendiarism,41.046,-96.196
Richard Mays,"Springville, Mo.","Feb. 21, 1893",Attempted Rape,41.046,-96.196
Dug Hazleton,"Carrollton, Ga.","Aug. 14, 1893",Attempted Rape,41.046,-96.196
Judge McNeil,"Cadiz, Ky.","Sept. 1, 1893",Attempted Rape,41.046,-96.196
Frank Smith,"Newton, Miss.","Sept. 11, 1893",Attempted Rape,41.046,-96.196
William Jackson,"Nevada, Mo.;","Sept. 16, 1893",Attempted Rape,41.046,-96.196
Riley Gulley,"Pine Apple, Ala.","Sept. 19, 1893",Attempted Rape,41.046,-96.196
John Davis,"Shorterville, Ala.","Oct. 9, 1893",Attempted Rape,41.046,-96.196
Robert Kennedy,"Spartansburg, S.C.","Nov. 8, 1893",Attempted Rape,41.046,-96.196
Richard Forman,"Granada, Miss.","Feb. 16, 1893",Burglary,41.046,-96.196
David Jackson,"Covington, La.","Oct. 14, 1893",Wife Beating,41.046,-96.196
Thomas Smith,"Roanoke, Va.","Sept. 21, 1893",Attempted Murder,41.046,-96.196
four unknown negroes,"Selma, Ala.","Dec. 12, 1893",Attempted Robbery,41.046,-96.196
Thomas Carr,"Kosciusko, Miss.","Jan. 30, 1893",Race Prejudice,41.046,-96.196
William Butler,"Hickory Creek, Texas","Feb. 7, 1893",Race Prejudice,41.046,-96.196
Charles Tart,"Lyons Station, Miss.","Aug. 27, 1893",Race Prejudice,41.046,-96.196
Robert Greenwood,"Cross county, Ark.","Dec. 7, 1893",Race Prejudice,41.046,-96.196
Allen Butler,"Lawrenceville, Ill.","July 14, 1893",Race Prejudice,41.046,-96.196
two unknown negroes,"Knox Point, La.","Oct. 24, 1893",Thieves,41.046,-96.196
"Edward Wagner, William Wagner, Samuel Motlow, Eliza Motlow","Lynchburg, Va.","Nov. 4, 1893",Alleged Barn Burning,41.046,-96.196
"Robert Landry, Chicken George, Richard Davis","St. James Parish, La.","Jan. 21, 1893",Alleged Murder,41.046,-96.196
"Benjamin Menter, Robert Wilkins, Jospeh Gevhens","Berlin, Ala.","Dec. 8, 1893",Alleged Murder,41.046,-96.196
"Valsin Julian, Basil Julian, Paul Julian, John Willis","Jefferson Parish, La.","Sept. 16, 1893",Alleged Complicity in Murder,41.046,-96.196
Samuel Thorp,"Savannah, Ga.","June 29, 1893",Murder,41.046,-96.196
George S. Riechen,"Waynesboro, Ga.","June 29, 1893",Murder,41.046,-96.196
Joseph Bird,"Wilberton, I.T.","June 30, 1893",Murder,41.046,-96.196
James Lamar,"Darien, Ga.","July 1, 1893",Murder,41.046,-96.196
Henry Miller,"Dallas, Texas","July 28, 1893",Murder,41.046,-96.196
Ada Hiers,"Walterboro, S.C.","July 28, 1893",Murder,41.046,-96.196
Alexander Brown,"Bastrop, Texas","July 28, 1893",Murder,41.046,-96.196
W.G. Jamison,"Quincy, Ill.","July 30, 1893",Murder,41.046,-96.196
John Ferguson,"Lawrens, S.C.","Sept. 1, 1893",Murder,41.046,-96.196
Oscar Johnston,"Berkeley, S.C.","Sept. 1, 1893",Murder,41.046,-96.196
Henry Ewing,"Berkeley, S.C.","Sept. 1, 1893",Murder,41.046,-96.196
William Smith,"Camden, Ark.","Sept. 8, 1893",Murder,41.046,-96.196
Staples Green,"Livingston, Ala.","Sept. 15, 1893",Murder,41.046,-96.196
"Hiram Jacobs, Lucien Mannet, Hire Bevington, Weldon Gordon, Parse Strickland,","Mount Vernon, Ga.","Sept. 29, 1893",Murder,41.046,-96.196
William Dalton,"Cartersville, Ga.","Oct. 20, 1893",Murder,41.046,-96.196
M.B. Taylor,"Wise Court House, Va.","Oct. 27, 1893",Murder,41.046,-96.196
Isaac Williams,"Madison, Ga.","Oct. 27, 1893",Murder,41.046,-96.196
Miller Davis,"Center Point, Ark.","Nov. 10, 1893",Murder,41.046,-96.196
John Johnston,"Auburn, N.Y.","Nov. 14, 1893",Murder,41.046,-96.196
Calvin Stewart,"Langley, S.C.","Sept. 27, 1893",Murder,41.046,-96.196
Henry Coleman,"Denton, La.","Sept. 29, 1893",Murder,41.046,-96.196
"William Richards, James Dickson","Summerfield, Ga.","Oct. 18, 1893",Murder,41.046,-96.196
Edward Jenkins,"Clayton county, Ga.","Oct. 27, 1893",Murder,41.046,-96.196
Henry Boggs,"Fort White, Fla.","Nov. 9, 1893",Murder,41.046,-96.196
three unknown negroes,"Lake City Junction, Fla.","Nov. 14, 1893",Murder,41.046,-96.196
D.T. Nelson,"Varney, Ark.","Nov. 14, 1893",Murder,41.046,-96.196
Newton Jones,"Baxley, Ga.","Nov. 29, 1893",Murder,41.046,-96.196
